readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	25	13	4	12	24.24	15.4	19.82
0	17	31	130	4	27.61	35.88	31.745
0	8	25	112	117	6.72	14.13	10.425
0	3	18	117	137	13.93	34.69	24.31
0	8	8	137	71	34.5	16.53	25.515
0	17	11	71	97	16.33	18.69	17.509999999999998
0	34	23	97	42	18.51	8.2	13.355
0	6	10	42	129	7.99	6.32	7.155
0	9	26	129	143	6.13	35.53	20.830000000000002
0	14	25	143	142	35.34	11.4	23.37
0	11	31	141	228	11.2	13.81	12.504999999999999
0	6	13	228	215	13.6	0.03	6.8149999999999995
0	12	22	215	30	40.79	24.85	32.82
0	3	25	30	5	24.67	18.2	21.435000000000002
0	27	0	5	231	18.01	29.04	23.525
0	26	4	248	2	27.38	10.3	18.84
0	12	13	122	248	9.94	27.56	18.75
0	18	17	186	122	1.18	10.11	5.645
0	33	0	138	186	26.62	1.37	13.995000000000001
0	17	4	193	18	16.12	2.6	9.360000000000001
0	13	7	223	224	1.65	13.02	7.335
0	14	9	223	224	33.23	5.76	19.494999999999997
0	15	10	223	224	5.54	32.66	19.099999999999998
0	17	11	224	224	32.13	26.81	29.47
0	18	14	224	223	35.79	1.88	18.835
0	19	28	224	82	30.49	27.41	28.95
0	20	4	224	144	30.51	28.23	29.37
0	21	21	224	1	28.75	0.52	14.635
0	22	4	224	18	28.62	2.59	15.605
0	24	7	224	208	23.31	14.53	18.919999999999998
0	25	9	224	208	34.32	6.46	20.39
0	26	10	224	208	35.74	32.59	34.165000000000006
0	27	11	224	208	37.22	26.87	32.045
0	28	14	224	208	32.77	3.34	18.055
0	29	18	224	118	12.81	7.97	10.39
0	30	15	224	227	24.02	8.73	16.375
0	31	18	224	224	28.11	30.57	29.34
0	32	13	224	103	20.24	6.01	13.125
0	33	8	224	85	26.33	9.36	17.845
0	6	4	82	133	27.21	15.51	21.36
0	14	7	219	85	32.43	1.11	16.77
0	15	9	219	85	6.41	30.23	18.32
0	17	10	219	85	32.29	12.01	22.15
0	18	11	219	85	35.65	7.25	21.45
0	19	14	219	203	30.94	35.88	33.410000000000004
0	20	15	219	104	31.48	11.11	21.295
0	21	6	219	114	29.78	35.36	32.57
0	22	18	219	35	30.41	11.04	20.725
0	24	8	219	34	22.49	25.32	23.905
0	25	7	219	34	33.14	12.46	22.8
0	26	9	219	34	36.53	5.22	20.875
0	27	10	219	34	38.57	32.73	35.65
0	28	11	219	34	33.96	27.88	30.92
0	29	14	219	34	13.42	11.58	12.5
0	30	15	219	64	22.94	26.35	24.645000000000003
0	31	2	219	136	28.16	32.07	30.115000000000002
0	32	16	219	208	21.21	14.5	17.855
0	33	32	219	68	26.79	34.72	30.755
0	15	29	1	80	0.31	39.7	20.005000000000003
0	13	16	208	179	3.12	24.99	14.055
0	14	7	208	45	32.53	1.49	17.01
0	15	13	208	152	6.25	8.8	7.525
0	17	28	208	254	31.55	8.94	20.245
0	18	22	208	246	35.57	5.36	20.465
0	19	28	208	66	30.44	6.24	18.34
0	20	13	208	4	31.43	6.82	19.125
0	21	23	209	234	30.93	8.89	19.91
0	22	2	208	96	28.64	35.24	31.94
0	24	4	208	127	22.55	25.02	23.785
0	25	18	208	178	33.01	13.08	23.044999999999998
0	26	20	208	222	35.84	30.76	33.300000000000004
0	27	11	208	187	37.93	2.44	20.185
0	28	12	208	187	33.58	18.85	26.215
0	29	21	208	149	14.33	8.62	11.475
0	30	12	208	55	23.78	15.89	19.835
0	31	7	208	222	26.89	10.35	18.62
0	32	24	208	174	20.09	11.74	15.915
0	33	18	208	33	25.87	11.65	18.76
0	34	4	208	150	23.59	2.7	13.145
0	13	18	85	185	32.79	18.49	25.64
0	16	15	223	7	30.93	7.48	19.205
0	5	13	117	252	7.73	10.42	9.075
0	5	8	102	116	35.97	34.64	35.305
0	13	11	85	66	35.58	1.47	18.525
0	14	30	85	67	19.4	40.56	29.98
0	15	23	85	143	30.01	33.55	31.78
0	16	33	223	195	38.2	7.06	22.630000000000003
0	17	25	85	154	15.89	34.42	25.155
0	18	30	85	179	16.45	23.81	20.13
0	19	31	85	179	12.24	18.39	15.315000000000001
0	20	21	85	139	11.52	24.51	18.015
0	21	24	85	136	10.74	21.05	15.895
