readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	18	26	0	0	2.99	3.16	3.075
0	25	4	0	0	1.42	1.56	1.49
0	27	31	0	0	2.81	2.99	2.9000000000000004
0	24	20	0	0	4.05	4.23	4.140000000000001
0	29	20	0	0	5.81	5.99	5.9
0	11	31	0	0	2.76	2.92	2.84
0	16	28	0	0	3.46	3.64	3.55
0	12	28	0	0	4.45	4.88	4.665
0	19	27	0	0	6.74	6.91	6.825
0	27	19	0	0	4.7	5.01	4.855
0	27	28	0	0	5.06	5.24	5.15
0	20	23	0	0	3.24	3.41	3.325
0	16	32	0	0	1.97	2.16	2.065
0	6	25	0	0	1.92	2.1	2.01
0	23	2	0	0	7.76	7.94	7.85
0	11	31	0	0	2.19	2.17	2.1799999999999997
0	11	31	0	0	4.23	4.39	4.3100000000000005
0	3	15	0	0	1.36	1.44	1.4
0	32	32	0	0	1.46	1.6	1.53
0	9	22	0	0	1.73	1.61	1.67
0	31	29	0	0	6.45	6.63	6.54
0	11	20	0	0	5.87	5.4	5.635
0	19	23	0	0	4.3	4.46	4.38
0	25	28	0	0	6.26	6.03	6.145
0	17	20	0	0	3.44	3.65	3.545
0	9	27	0	0	3.63	3.8	3.715
0	13	28	0	0	2.05	2.13	2.09
0	13	33	0	0	4.18	4.35	4.265
0	32	22	0	0	6.77	6.43	6.6
0	12	24	0	0	3.89	4.06	3.9749999999999996
0	23	23	0	0	4.35	4.44	4.395
0	24	20	0	0	4.62	4.81	4.715
0	18	26	0	0	10.21	10.39	10.3
0	17	26	0	0	1.68	1.53	1.605
0	27	30	0	0	2.21	2.43	2.3200000000000003
0	15	33	0	0	1.67	1.71	1.69
0	23	24	0	0	5.58	5.32	5.45
0	23	20	0	0	4.8	5.0	4.9
0	33	33	0	0	4.79	4.96	4.875
0	19	19	0	0	2.84	2.99	2.915
0	10	32	0	0	4.28	4.41	4.345000000000001
0	23	28	0	0	3.36	3.54	3.45
0	24	19	0	0	3.44	3.6	3.52
0	30	30	0	0	6.18	5.76	5.97
0	18	21	0	0	4.11	4.27	4.1899999999999995
0	33	31	0	0	7.13	6.93	7.029999999999999
0	29	15	0	0	3.09	3.29	3.19
0	29	23	0	0	2.53	2.35	2.44
0	29	6	0	0	5.24	5.4	5.32
0	15	29	0	0	7.72	7.31	7.515
0	10	23	0	0	6.03	6.34	6.1850000000000005
0	16	21	0	0	4.47	4.58	4.525
0	18	20	0	0	8.58	7.92	8.25
0	16	24	0	0	4.55	4.64	4.595
0	19	28	0	0	3.68	3.86	3.77
0	25	24	0	0	4.87	4.72	4.795
0	22	30	0	0	4.16	4.35	4.255
0	32	33	0	0	4.53	4.71	4.62
0	22	31	0	0	2.69	2.71	2.7
0	7	20	0	0	5.37	5.05	5.21
0	17	21	0	0	4.33	4.5	4.415
0	29	26	0	0	5.22	5.54	5.38
0	30	32	0	0	5.65	6.19	5.92
0	8	21	0	0	4.47	4.62	4.545
0	10	22	0	0	3.58	3.73	3.6550000000000002
0	19	31	0	0	2.41	2.58	2.495
0	9	20	0	0	8.76	8.93	8.844999999999999
0	10	33	0	0	7.59	7.05	7.32
0	6	30	0	0	3.3	3.46	3.38
0	17	30	0	0	5.65	5.41	5.53
0	15	28	0	0	9.74	8.96	9.350000000000001
0	27	30	0	0	8.26	8.74	8.5
0	15	30	0	0	5.9	5.8	5.85
0	27	31	0	0	3.32	3.51	3.415
0	9	22	0	0	3.22	3.39	3.305
0	26	19	0	0	3.93	4.17	4.05
0	29	27	0	0	4.0	3.97	3.9850000000000003
0	23	22	0	0	6.75	6.92	6.835
0	27	31	0	0	5.91	5.83	5.87
0	5	24	0	0	6.53	6.07	6.300000000000001
0	6	31	0	0	8.0	8.45	8.225
0	18	32	0	0	1.54	1.66	1.6
0	24	26	0	0	5.17	5.36	5.265000000000001
0	11	28	0	0	3.03	2.81	2.92
0	22	25	0	0	8.54	8.19	8.364999999999998
0	26	26	0	0	7.17	6.62	6.895
0	24	2	0	0	5.56	6.09	5.824999999999999
0	8	24	0	0	9.69	9.91	9.8
0	29	31	0	0	6.98	7.13	7.055
0	31	28	0	0	3.79	4.11	3.95
0	6	32	0	0	11.13	11.3	11.215
0	13	6	0	0	12.43	12.59	12.51
0	9	25	0	0	5.31	5.75	5.529999999999999
0	21	24	0	0	5.05	5.47	5.26
0	8	22	0	0	10.34	9.84	10.09
0	30	27	0	0	5.46	5.79	5.625
0	4	33	0	0	3.64	3.97	3.805
0	23	30	0	0	5.16	5.24	5.2
0	8	19	0	0	6.67	7.32	6.995
0	7	32	0	0	17.94	18.09	18.015
1	29	33	0	0	13.2	13.97	13.585
1	19	15	0	0	5.55	5.75	5.65
1	3	23	0	0	8.81	8.96	8.885000000000002
1	24	33	0	0	4.99	5.17	5.08
1	19	31	0	0	2.91	3.08	2.995
1	11	21	0	0	3.41	3.56	3.4850000000000003
1	10	24	0	0	8.35	8.5	8.425
1	6	27	0	0	8.51	8.66	8.585
1	7	27	0	0	9.57	9.73	9.65
1	22	33	0	0	2.9	3.09	2.995
1	32	28	0	0	7.16	7.33	7.245
1	27	28	0	0	9.75	9.94	9.844999999999999
1	13	24	0	0	10.45	10.6	10.524999999999999
1	11	22	0	0	4.07	4.23	4.15
1	34	21	0	0	4.15	4.31	4.23
1	26	23	0	0	9.06	9.22	9.14
1	29	15	0	0	6.36	6.14	6.25
1	31	27	0	0	5.3	5.48	5.390000000000001
1	26	20	0	0	11.17	11.36	11.265
