readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	3	1	14	14	11.61	11.8	11.705
0	3	25	9	9	6.37	6.55	6.46
0	4	20	18	19	9.92	10.12	10.02
0	4	18	135	135	10.37	10.54	10.454999999999998
0	5	26	66	66	12.23	12.39	12.31
0	16	19	151	152	14.75	14.92	14.835
0	30	29	190	190	8.66	8.85	8.754999999999999
0	4	13	157	158	10.74	10.93	10.835
0	15	20	116	117	10.46	10.66	10.56
0	4	23	139	139	8.16	7.89	8.025
0	8	33	124	124	10.33	10.49	10.41
0	3	28	202	202	10.06	10.27	10.165
0	3	23	100	100	16.89	17.05	16.97
0	6	27	95	95	11.16	11.34	11.25
0	34	23	3	3	8.65	8.83	8.74
0	11	15	253	253	13.51	13.7	13.605
0	23	18	58	58	8.35	8.53	8.44
0	13	21	235	235	13.16	13.32	13.24
1	3	33	22	22	2.73	2.9	2.815
1	9	20	79	79	8.83	9.04	8.934999999999999
1	3	2	146	146	12.57	12.76	12.665
1	7	24	168	168	13.65	13.82	13.735
1	4	11	54	54	9.27	9.44	9.355
1	14	32	182	182	5.94	6.1	6.02
1	26	19	165	166	10.12	10.29	10.204999999999998
1	6	31	47	47	2.57	2.75	2.66
1	12	27	80	80	3.51	3.71	3.61
1	7	19	9	9	12.44	12.6	12.52
1	9	14	32	32	7.01	6.63	6.82
1	6	13	104	104	7.92	8.1	8.01
1	18	25	202	203	13.3	13.48	13.39
1	8	25	167	167	8.6	8.77	8.684999999999999
1	9	4	127	127	9.52	9.69	9.605
1	3	26	193	193	5.04	5.22	5.13
1	34	10	210	210	13.8	13.98	13.89
1	3	25	45	45	11.3	11.48	11.39
1	25	32	217	217	12.1	12.27	12.184999999999999
1	6	30	78	78	15.26	15.42	15.34
1	8	33	123	123	5.49	5.64	5.5649999999999995
2	8	10	142	142	15.89	16.07	15.98
2	3	6	212	213	12.66	12.78	12.719999999999999
2	15	11	238	238	10.0	10.17	10.085
2	18	31	145	145	11.15	11.34	11.245000000000001
2	12	19	111	111	7.57	7.74	7.655
2	30	3	227	227	11.54	11.71	11.625
2	11	31	215	215	16.81	16.99	16.9
2	3	31	193	193	10.13	10.32	10.225000000000001
2	8	6	85	85	13.75	13.93	13.84
2	16	31	114	114	8.22	8.41	8.315000000000001
2	5	14	134	134	11.64	11.82	11.73
2	5	19	115	115	12.01	12.16	12.085
3	14	30	45	45	9.83	10.0	9.915
3	7	17	176	176	8.83	8.99	8.91
3	8	28	110	110	8.12	8.32	8.219999999999999
3	4	29	232	232	5.12	5.29	5.205
3	5	19	211	211	10.36	10.51	10.434999999999999
3	7	22	91	91	11.84	12.04	11.94
3	9	32	80	80	11.17	11.32	11.245000000000001
3	10	27	150	150	9.36	9.53	9.445
3	18	29	1	1	11.02	11.21	11.115
3	7	23	146	146	13.8	13.96	13.88
3	11	15	137	137	15.82	16.0	15.91
4	7	32	38	38	8.56	8.72	8.64
4	9	31	38	38	6.39	6.57	6.48
4	25	30	200	200	6.91	7.08	6.995
4	24	15	241	241	5.93	6.12	6.025
4	3	31	218	218	6.59	6.78	6.6850000000000005
4	33	17	250	250	8.86	9.02	8.94
4	26	32	162	162	12.52	12.68	12.6
4	3	24	172	172	5.41	5.59	5.5
4	5	23	170	170	16.68	16.82	16.75
4	3	25	27	27	6.15	6.33	6.24
4	9	30	207	207	11.6	11.77	11.684999999999999
4	6	12	61	61	14.0	14.17	14.085
4	3	26	228	228	8.9	9.07	8.985
4	27	28	218	218	10.74	10.95	10.844999999999999
4	8	21	173	174	11.67	11.84	11.754999999999999
4	30	3	203	203	4.14	4.32	4.23
4	10	26	87	87	8.89	9.05	8.97
4	7	27	147	147	10.11	10.3	10.205
4	6	20	165	165	9.67	9.87	9.77
4	31	31	213	213	13.29	13.45	13.37
