readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	8	6	159	159	12.82	13.01	12.915
0	9	3	79	79	4.23	4.43	4.33
0	21	9	140	140	14.18	14.37	14.274999999999999
0	6	0	72	72	17.51	17.75	17.630000000000003
0	7	11	111	111	16.36	16.58	16.47
0	15	5	61	61	6.7	6.91	6.805
0	4	3	137	137	13.89	14.1	13.995000000000001
0	33	2	138	138	6.08	6.26	6.17
0	17	6	244	244	13.55	13.75	13.65
0	7	1	72	72	8.15	8.4	8.275
0	8	1	205	205	8.12	8.34	8.23
0	15	1	239	239	10.3	10.55	10.425
0	12	0	203	203	17.93	18.17	18.05
0	3	1	144	144	7.38	7.61	7.495
1	9	17	53	53	15.66	15.86	15.76
1	25	33	189	189	11.6	11.82	11.71
1	4	1	168	168	4.21	4.44	4.325
1	11	7	233	233	5.1	5.36	5.23
1	21	3	136	136	12.31	12.52	12.415
1	22	1	141	141	2.83	3.07	2.95
1	16	1	216	216	9.74	9.97	9.855
1	12	16	61	61	14.73	14.95	14.84
1	13	6	178	178	10.99	11.18	11.085
1	12	4	89	89	15.71	15.96	15.835
1	10	3	180	180	3.33	3.56	3.4450000000000003
1	9	11	126	126	3.74	3.94	3.84
2	16	0	250	250	15.09	15.32	15.205
2	10	32	82	82	10.91	11.12	11.015
2	20	2	226	226	16.22	16.43	16.325
2	20	5	188	188	20.42	20.62	20.520000000000003
2	18	10	26	26	6.86	7.04	6.95
2	7	33	231	231	7.25	7.46	7.355
2	16	9	24	24	7.2	7.41	7.305
2	4	4	255	255	4.69	4.91	4.800000000000001
2	15	4	253	253	13.36	13.62	13.489999999999998
2	4	28	217	217	8.98	9.21	9.095
2	12	9	174	174	10.06	10.27	10.165
2	8	3	60	60	7.11	7.31	7.21
2	8	6	29	29	11.24	11.42	11.33
2	19	2	161	161	11.48	11.7	11.59
3	33	0	16	16	18.31	18.52	18.415
3	10	24	85	85	10.4	10.6	10.5
3	4	8	248	249	8.23	8.41	8.32
3	4	14	138	138	17.58	17.81	17.695
3	15	15	85	85	9.43	9.63	9.530000000000001
3	11	5	221	221	8.69	8.91	8.8
3	3	1	210	210	5.71	5.95	5.83
3	20	4	199	199	5.11	5.35	5.23
3	5	2	212	212	4.46	4.68	4.57
4	12	33	55	55	10.71	10.93	10.82
4	6	5	244	244	6.18	6.4	6.29
4	3	3	89	89	7.96	8.16	8.06
4	23	27	73	73	6.62	6.83	6.725
4	14	7	57	57	11.09	11.33	11.21
4	9	2	154	154	9.45	9.65	9.55
4	15	7	42	42	7.91	8.17	8.04
4	21	31	81	81	11.21	11.44	11.325
4	15	24	224	224	9.65	9.86	9.754999999999999
4	7	8	248	248	5.74	5.94	5.84
5	31	23	6	6	4.87	5.09	4.98
5	6	9	32	32	11.82	12.03	11.925
5	8	2	136	136	7.72	7.92	7.82
5	3	14	41	41	4.55	4.77	4.66
5	12	9	38	38	11.38	11.6	11.49
5	4	31	197	197	6.85	7.07	6.96
5	7	27	180	180	8.84	9.03	8.934999999999999
5	22	4	194	195	8.6	8.84	8.719999999999999
5	16	0	104	104	20.7	20.94	20.82
5	16	8	21	21	17.79	17.97	17.88
5	9	7	228	228	17.66	17.89	17.775
5	22	23	243	243	11.58	11.81	11.695
5	3	1	196	196	18.67	18.92	18.795
5	15	1	178	178	9.75	10.68	10.215
5	17	6	103	103	12.73	12.92	12.825
5	6	10	100	100	10.6	10.78	10.69
5	13	21	174	175	7.14	7.37	7.255
5	21	9	139	139	6.97	7.17	7.07
5	27	0	58	58	10.73	10.94	10.835
6	9	10	168	168	6.61	6.76	6.6850000000000005
6	10	13	171	171	5.74	5.96	5.85
6	5	0	157	157	13.61	13.85	13.73
6	7	6	148	148	8.89	9.1	8.995000000000001
6	5	2	114	114	15.22	15.43	15.325
6	9	1	175	175	11.33	11.55	11.440000000000001
6	9	31	130	130	7.79	8.0	7.895
6	9	30	32	32	30.83	31.02	30.924999999999997
6	6	31	154	154	4.68	4.91	4.795
6	24	25	161	161	4.93	5.15	5.04
6	27	12	239	239	14.91	15.11	15.01
6	9	11	196	197	9.23	9.43	9.33
