readout	order	layer	ChipID	payload	location	isCol	timestamp	tot_msb	tot_lsb	tot_total	tot_us	fpga_ts
0	0	1	0	6	60	False	15	15	4	3844	38.44	7426
0	1	1	0	4	56	False	10	12	4	3076	30.76	0
0	2	1	0	2	57	True	4	0	0	0	0.0	0
0	3	1	0	2	22	True	4	0	0	0	0.0	0
0	4	1	0	4	13	False	12	6	4	1540	15.4	0
0	5	1	0	2	2	True	10	0	0	0	0.0	0
0	6	1	0	5	32	True	1	7	4	1796	17.96	8
0	7	1	0	3	4	False	11	4	0	1024	10.24	0
0	8	1	1	6	53	True	1	4	5	1029	10.29	46232
0	9	1	0	4	25	True	4	9	120	2424	24.24	0
0	10	1	0	4	31	False	4	14	4	3588	35.88	0
0	11	1	0	7	16	False	4	2	165	677	6.77	319752
0	12	1	16	6	13	True	130	6	39	1575	15.75	6404
0	13	1	0	1	56	True	0	0	0	0	0.0	0
0	14	1	0	4	17	True	130	10	201	2761	27.61	0
0	15	1	0	5	10	False	1	4	8	1032	10.32	11534960
0	16	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	17	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	18	1	0	4	8	True	112	2	160	672	6.72	0
0	19	1	0	4	25	False	117	5	133	1413	14.13	0
0	20	1	0	4	3	True	117	5	113	1393	13.93	0
0	21	1	0	4	18	False	137	13	141	3469	34.69	0
0	22	1	0	4	8	True	137	13	122	3450	34.5	0
0	23	1	0	4	8	False	71	6	117	1653	16.53	0
0	24	1	0	4	17	True	71	6	97	1633	16.33	0
0	25	1	0	4	11	False	97	7	77	1869	18.69	0
0	26	1	0	4	34	True	97	7	59	1851	18.51	0
0	27	1	0	4	23	False	42	3	52	820	8.2	0
0	28	1	0	4	6	True	42	3	31	799	7.99	0
0	29	1	0	4	10	False	129	2	120	632	6.32	0
0	30	1	0	4	9	True	129	2	101	613	6.13	0
0	31	1	0	4	26	False	143	13	225	3553	35.53	0
0	32	1	0	4	14	True	143	13	206	3534	35.34	0
0	33	1	0	4	25	False	142	4	116	1140	11.4	0
0	34	1	0	4	11	True	141	4	96	1120	11.2	0
0	35	1	0	4	31	False	228	5	101	1381	13.81	0
0	36	1	0	4	6	True	228	5	80	1360	13.6	0
0	37	1	0	4	13	False	215	0	3	3	0.03	0
0	38	1	0	4	12	True	215	15	239	4079	40.79	0
