,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,3,4,13,False,13,13,0,3328,33.28,167772160
1,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
2,0,195,0,0,0,False,0,0,10,10,0.1,0
3,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
4,0,94,0,0,0,False,0,0,13,13,0.13,38657
5,0,18,4,0,0,False,111,0,0,0,0.0,17432576
6,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
7,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
8,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
9,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
10,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
11,0,1,1,4,0,False,60,6,9,1545,15.45,82
12,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
13,0,1,1,4,21,True,60,9,230,2534,25.34,0
14,0,1,3,4,20,False,21,15,9,3849,38.49,0
15,0,1,19,7,20,False,142,15,9,3849,38.49,267405
16,0,1,22,5,13,False,10,4,136,1160,11.6,181
17,0,1,1,4,53,True,28,13,127,3455,34.55,0
18,0,1,0,6,20,True,20,13,224,3552,35.52,38927
19,0,1,1,4,14,False,189,1,198,454,4.54,0
20,0,1,3,4,13,True,127,6,125,1661,16.61,0
21,0,1,1,4,10,True,189,1,179,435,4.35,0
22,0,1,2,4,61,False,61,13,61,3389,33.89,0
23,0,1,2,4,15,False,71,6,12,1548,15.48,0
24,0,1,2,2,39,False,14,0,0,0,0.0,0
25,0,224,0,0,0,False,0,0,10,10,0.1,1889408001
26,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
27,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
28,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
29,0,1,1,4,23,True,39,14,175,3759,37.59,0
30,0,1,0,1,3,True,0,0,0,0,0.0,0
31,0,1,1,4,7,True,214,14,155,3739,37.39,0
32,0,1,2,4,26,False,45,1,225,481,4.81,0
33,0,1,1,4,30,True,49,2,16,528,5.28,0
34,0,1,1,4,25,False,45,11,105,2921,29.21,0
35,0,1,1,4,24,False,44,6,172,1708,17.08,0
36,0,1,1,4,29,False,45,10,199,2759,27.59,0
37,0,1,1,4,29,True,44,6,156,1692,16.92,0
38,0,1,1,4,33,True,45,10,179,2739,27.39,0
39,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
