,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,19,False,0,0,0,0,0.0,67176960
1,0,64,0,0,0,False,0,0,12,12,0.06,1
2,0,4,1,2,39,False,6,11,103,2919,14.595,0
3,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
4,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
5,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
6,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
7,0,1,0,4,10,False,187,7,96,1888,9.44,0
8,0,1,1,4,30,True,6,6,4,1540,7.7,0
9,0,1,0,4,10,True,187,15,12,3852,19.26,46
10,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
11,0,1,0,4,10,True,99,7,24,1816,9.08,0
12,0,1,0,4,10,True,99,6,180,1716,8.58,0
13,0,1,0,4,10,False,182,7,109,1901,9.505,0
14,0,1,0,4,10,True,89,12,108,3180,15.9,0
15,0,1,0,4,10,True,173,7,24,1816,9.08,0
16,0,1,0,4,10,True,173,7,7,1799,8.995,0
17,0,1,0,4,10,False,1,7,41,1833,9.165,0
18,0,1,0,4,10,True,85,12,142,3214,16.07,0
19,0,1,0,4,10,True,169,7,71,1863,9.315,0
20,0,1,0,4,10,True,169,6,170,1706,8.53,0
21,0,1,0,4,10,False,253,7,84,1876,9.38,0
22,0,1,0,4,10,True,80,12,204,3276,16.38,0
23,0,1,0,4,10,True,164,6,236,1772,8.86,0
24,0,1,0,4,10,True,164,6,172,1708,8.54,0
25,0,1,0,4,10,False,248,7,56,1848,9.24,0
26,0,1,0,4,10,True,4,10,244,2804,14.02,3335
27,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
28,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
29,0,1,0,4,10,True,244,6,227,1763,8.815,0
30,0,1,0,4,10,False,72,7,92,1884,9.42,0
31,0,1,0,4,10,True,155,12,165,3237,16.185,0
32,0,1,0,4,10,True,239,7,70,1862,9.31,0
33,0,1,0,4,10,True,239,6,214,1750,8.75,0
34,0,1,0,4,10,False,67,7,65,1857,9.285,0
35,0,1,0,4,10,True,151,12,112,3184,15.92,0
36,0,1,0,4,10,True,235,7,105,1897,9.485,0
37,0,1,0,4,10,True,235,7,7,1799,8.995,0
38,0,1,0,4,10,False,63,7,61,1853,9.265,0
39,0,1,0,4,10,True,226,12,210,3282,16.41,0
40,0,1,0,4,10,True,54,7,64,1856,9.28,0
41,0,1,0,4,10,True,54,6,219,1755,8.775,0
42,0,1,0,4,10,False,137,7,114,1906,9.53,0
43,0,1,0,4,10,True,221,13,54,3382,16.91,0
44,0,1,0,4,10,True,49,7,46,1838,9.19,0
45,0,1,0,4,10,True,49,6,194,1730,8.65,0
46,0,1,0,4,10,False,133,7,18,1810,9.05,0
47,0,1,0,4,10,True,40,13,27,3355,16.775,0
48,0,1,0,4,10,True,124,7,16,1808,9.04,0
49,0,1,0,4,10,True,124,6,138,1674,8.37,0
50,0,1,0,4,10,False,208,7,54,1846,9.23,0
51,0,1,0,4,10,True,35,11,245,3061,15.305,0
52,0,1,0,4,10,True,119,7,61,1853,9.265,0
53,0,1,0,4,10,True,119,7,14,1806,9.03,0
54,0,1,0,4,10,False,203,7,92,1884,9.42,0
55,0,1,0,4,10,True,31,11,247,3063,15.315,0
56,0,1,0,4,10,True,115,6,253,1789,8.945,0
57,0,1,0,4,10,True,115,6,170,1706,8.53,0
58,0,1,0,4,10,False,199,7,45,1837,9.185,0
59,0,1,0,4,10,True,106,12,91,3163,15.815,0
60,0,1,0,4,10,True,190,7,114,1906,9.53,0
61,0,1,0,4,10,True,190,6,132,1668,8.34,0
62,0,1,0,4,10,False,18,7,33,1825,9.125,0
63,0,1,0,4,10,True,101,12,229,3301,16.505,0
64,0,1,0,4,10,True,185,6,236,1772,8.86,0
65,0,1,0,4,10,True,185,6,176,1712,8.56,0
66,0,1,0,4,10,False,13,7,26,1818,9.09,0
67,0,1,0,4,10,True,176,12,130,3202,16.01,0
68,0,1,0,4,10,True,4,6,240,1776,8.88,0
69,0,1,0,4,10,True,4,6,177,1713,8.565,0
70,0,1,0,4,10,False,88,6,178,1714,8.57,0
71,0,1,0,4,10,True,172,12,113,3185,15.925,0
72,0,1,0,4,10,True,0,7,35,1827,9.135,0
73,0,1,0,4,10,True,0,7,35,1827,9.135,0
74,0,1,0,4,10,False,83,7,100,1892,9.46,0
75,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
