,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,0,False,0,6,90,1626,8.13,0
1,0,1,1,4,0,False,0,5,210,1490,7.45,0
2,0,1,0,4,1,False,0,6,21,1557,7.785,0
3,0,1,1,4,1,False,0,5,201,1481,7.405,0
4,0,1,0,4,2,False,0,6,108,1644,8.22,0
5,0,1,1,4,2,False,0,5,221,1501,7.505,0
6,0,1,0,4,3,False,0,6,88,1624,8.12,0
7,0,1,1,4,4,False,0,6,53,1589,7.945,0
8,0,1,0,4,4,False,0,6,149,1685,8.425,0
9,0,1,1,4,6,False,0,6,33,1569,7.845,0
10,0,1,0,4,5,False,0,6,110,1646,8.23,0
11,0,1,1,4,8,False,0,6,17,1553,7.765,0
12,0,1,0,4,6,False,0,6,46,1582,7.91,0
13,0,1,1,4,10,False,0,6,43,1579,7.895,0
14,0,1,0,4,7,False,0,6,58,1594,7.97,0
15,0,1,1,4,12,False,0,5,250,1530,7.65,0
16,0,1,0,4,8,False,0,5,235,1515,7.575,0
17,0,1,1,4,14,False,0,5,244,1524,7.62,0
18,0,1,0,4,9,False,0,5,217,1497,7.485,0
19,0,1,1,4,16,False,0,6,53,1589,7.945,0
20,0,1,0,4,10,False,183,5,141,1421,7.105,0
21,0,1,1,4,18,False,0,6,9,1545,7.725,0
22,0,1,0,4,11,False,0,6,5,1541,7.705,249
23,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
24,0,-1,-1,-1,-1,True,-1,-1,-1,-1,-1.0,-1
