,readout,layer,chipID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,fpga_ts
0,0,1,0,4,8,False,0,0,252,252,1.26,0
1,0,1,0,4,7,False,0,7,128,1920,9.6,0
2,0,1,0,4,9,False,0,1,149,405,2.025,0
3,0,1,0,4,8,False,0,7,141,1933,9.665,0
4,0,1,0,4,10,False,112,3,164,932,4.66,0
5,0,1,0,4,9,False,0,7,172,1964,9.82,0
6,0,1,0,4,11,False,0,1,156,412,2.06,0
7,0,1,0,4,11,False,0,7,122,1914,9.57,0
8,0,1,0,4,12,False,0,1,73,329,1.645,0
9,0,1,0,4,13,False,0,7,154,1946,9.73,0
10,0,1,0,4,13,False,0,1,114,370,1.85,0
11,0,1,0,4,15,False,0,7,157,1949,9.745,0
12,0,1,0,4,14,False,0,1,153,409,2.045,0
13,0,1,0,4,17,False,0,7,146,1938,9.69,0
14,0,1,0,4,15,False,0,1,48,304,1.52,0
15,0,1,0,4,19,False,0,7,40,1832,9.16,0
16,0,1,0,4,16,False,0,1,54,310,1.55,0
17,0,1,0,4,21,False,0,7,172,1964,9.82,0
18,0,1,0,4,17,False,0,1,63,319,1.595,0
19,0,1,0,4,23,False,0,7,195,1987,9.935,0
20,0,1,0,4,18,False,0,1,38,294,1.47,0
21,0,1,0,4,25,False,0,7,121,1913,9.565,0
22,0,1,0,4,19,False,0,1,147,403,2.015,0
23,0,1,0,4,27,False,0,7,122,1914,9.57,0
24,0,1,0,4,20,False,0,1,64,320,1.6,0
25,0,1,0,4,29,False,0,7,116,1908,9.54,0
26,0,1,0,4,21,False,0,1,140,396,1.98,0
27,0,1,0,4,31,False,0,7,167,1959,9.795,0
28,0,1,0,4,22,False,0,1,30,286,1.43,0
29,0,1,0,4,33,False,0,7,133,1925,9.625,0
30,0,1,0,4,23,False,0,1,85,341,1.705,0
31,0,1,0,4,0,True,0,7,147,1939,9.695,0
32,0,1,0,4,24,False,0,1,68,324,1.62,0
33,0,1,0,4,2,True,0,7,182,1974,9.87,0
34,0,1,0,4,25,False,0,1,91,347,1.735,0
35,0,1,0,4,4,True,0,7,153,1945,9.725,0
36,0,1,0,4,26,False,0,1,56,312,1.56,0
37,0,1,0,4,6,True,0,7,194,1986,9.93,0
38,0,1,0,4,27,False,0,1,12,268,1.34,0
39,0,1,0,4,8,True,0,7,136,1928,9.64,0
40,0,1,0,4,28,False,0,1,119,375,1.875,0
41,0,1,0,4,10,True,0,2,132,644,3.22,0
42,0,1,0,4,29,False,0,1,137,393,1.965,0
43,0,1,0,4,12,True,0,7,65,1857,9.285,0
44,0,1,0,4,30,False,0,1,207,463,2.315,0
45,0,1,0,4,15,True,0,7,112,1904,9.52,0
46,0,1,0,4,31,False,0,1,158,414,2.07,0
47,0,1,0,4,17,True,0,7,113,1905,9.525,0
48,0,1,0,4,32,False,0,1,112,368,1.84,0
49,0,1,0,4,19,True,0,7,84,1876,9.38,0
50,0,1,0,4,33,False,0,1,71,327,1.635,0
51,0,1,0,4,21,True,0,7,152,1944,9.72,0
52,0,1,0,4,34,False,0,1,68,324,1.62,0
53,0,1,0,4,23,True,0,7,136,1928,9.64,0
54,0,1,0,4,0,True,0,1,168,424,2.12,0
55,0,1,0,4,25,True,0,7,137,1929,9.645,0
56,0,1,0,4,1,True,0,1,78,334,1.67,0
57,0,1,0,4,27,True,0,7,82,1874,9.37,0
58,0,1,0,4,2,True,0,1,75,331,1.655,0
59,0,1,0,4,29,True,0,7,99,1891,9.455,0
60,0,1,0,4,3,True,0,1,42,298,1.49,0
61,0,1,0,4,31,True,0,7,99,1891,9.455,0
62,0,1,0,4,4,True,0,1,111,367,1.835,0
63,0,1,0,4,33,True,0,7,47,1839,9.195,0
64,0,1,0,4,5,True,0,1,101,357,1.785,0
65,0,1,0,4,61,False,61,13,61,3389,16.945,0
