readout	col	row	timestamp_col	timestamp_row	tot_us_col	tot_us_row	avg_tot_us
0	12	28	165	165	5.635	5.725	5.68
1	30	19	5	5	9.925	10.015	9.97
1	33	13	48	48	4.415	4.5	4.4575
1	13	0	58	58	5.05	5.155	5.1025
2	32	32	36	36	3.5	3.58	3.54
2	30	10	196	196	4.955	5.05	5.0024999999999995
3	22	34	62	62	1.945	2.03	1.9874999999999998
3	25	27	237	237	3.465	3.56	3.5125
3	14	13	93	93	2.88	2.97	2.925
3	33	34	20	21	4.13	4.225	4.1775
4	34	33	206	206	3.615	3.705	3.66
4	21	27	194	194	2.855	2.95	2.9025
4	24	29	168	168	3.685	3.785	3.7350000000000003
4	18	19	165	165	8.645	8.735	8.69
5	32	1	27	27	5.805	5.9	5.8525
5	18	27	84	84	7.965	8.055	8.01
6	30	26	1	2	4.275	4.36	4.317500000000001
6	27	30	250	250	4.145	4.225	4.185
7	29	29	187	187	3.995	4.075	4.035
7	20	32	10	10	9.76	9.85	9.805
7	30	34	208	208	2.13	2.22	2.175
7	7	24	153	153	3.53	3.625	3.5774999999999997
8	33	25	222	222	5.265	5.355	5.3100000000000005
8	17	27	13	13	4.285	4.375	4.33
8	30	33	79	79	14.17	14.265	14.217500000000001
8	33	24	164	164	4.5	4.595	4.547499999999999
10	21	28	128	128	4.06	4.15	4.105
10	27	21	68	68	9.73	9.82	9.775
10	21	28	251	251	3.905	4.0	3.9524999999999997
10	23	29	250	250	6.755	6.855	6.805
10	33	12	175	175	6.8	6.885	6.842499999999999
10	18	30	41	41	5.22	5.305	5.262499999999999
10	15	25	255	255	7.12	7.21	7.165
10	34	29	192	192	3.77	3.87	3.8200000000000003
11	33	28	21	21	3.325	3.415	3.37
11	34	31	231	231	3.255	3.335	3.295
11	24	15	42	42	6.96	7.05	7.005
11	26	31	168	168	4.37	4.46	4.415
11	16	20	175	175	3.67	3.78	3.7249999999999996
12	12	27	218	218	4.59	4.68	4.635
12	14	21	183	183	4.465	4.555	4.51
13	20	29	5	5	2.26	2.355	2.3075
13	29	29	219	219	3.025	3.105	3.065
13	20	34	113	113	4.94	5.025	4.9825
13	8	9	38	38	3.485	3.58	3.5324999999999998
13	17	27	222	222	3.325	3.415	3.37
13	15	33	18	18	8.51	8.59	8.55
13	5	25	55	55	5.43	5.515	5.4725
14	31	20	117	118	5.175	5.275	5.225
15	26	31	29	29	3.085	3.18	3.1325000000000003
15	25	16	161	161	5.16	5.245	5.202500000000001
15	11	25	21	21	6.985	7.075	7.03
16	19	13	72	72	5.115	5.2	5.157500000000001
16	25	28	69	69	2.745	2.84	2.7925
17	28	24	159	159	3.725	3.825	3.7750000000000004
17	31	30	244	244	3.655	3.74	3.6975
17	20	34	113	114	5.07	5.155	5.112500000000001
17	19	29	150	150	4.96	5.055	5.0075
17	17	22	21	21	2.35	2.435	2.3925
18	14	32	149	149	4.27	4.355	4.3125
19	27	22	82	82	3.6	3.68	3.64
19	24	26	129	129	8.605	8.69	8.6475
19	33	30	231	231	7.45	7.53	7.49
19	10	33	223	223	3.105	3.19	3.1475
20	23	29	45	45	4.63	4.735	4.6825
20	34	33	0	0	3.89	3.98	3.935
20	22	30	225	226	4.4	4.485	4.442500000000001
20	32	27	158	158	7.46	7.555	7.5075
21	29	26	176	176	5.605	5.69	5.647500000000001
21	20	34	35	35	5.155	5.24	5.1975
21	19	10	96	96	3.515	3.615	3.5650000000000004
21	27	22	66	66	8.085	8.165	8.125
22	34	26	39	39	5.79	5.875	5.8325
22	16	31	76	76	6.15	6.235	6.192500000000001
24	18	27	197	197	5.575	5.66	5.6175
24	6	30	159	159	3.98	4.055	4.0175
25	24	29	53	54	3.9	4.0	3.95
25	25	34	238	238	3.49	3.575	3.5325
26	32	9	197	197	8.335	8.43	8.3825
26	30	16	134	134	4.0	4.09	4.045
26	16	33	84	84	3.065	3.15	3.1075
28	25	9	246	246	6.69	6.785	6.737500000000001
28	24	27	54	54	2.4	2.49	2.4450000000000003
29	32	33	102	102	7.02	7.11	7.0649999999999995
29	33	33	1	1	3.43	3.505	3.4675000000000002
29	32	33	34	34	5.565	5.7	5.6325
29	5	1	179	179	4.875	4.97	4.922499999999999
30	29	21	221	221	2.945	3.03	2.9875
30	15	34	114	115	6.465	6.545	6.505
30	20	32	38	38	10.36	10.45	10.405
30	31	31	85	85	7.235	7.315	7.275
31	32	28	69	69	4.895	4.98	4.9375
31	23	34	117	117	6.035	6.125	6.08
31	32	8	81	81	5.155	5.245	5.2
31	25	33	211	211	5.645	5.735	5.6899999999999995
31	25	29	121	121	4.13	4.23	4.18
31	25	34	76	76	4.635	4.72	4.6775
31	15	34	228	228	6.005	6.08	6.0425
31	32	33	246	246	5.57	5.655	5.612500000000001
32	27	20	192	192	8.74	8.1	8.42
32	30	33	58	58	7.37	7.46	7.415
33	26	32	146	146	8.82	8.91	8.865
33	23	30	0	0	7.58	7.665	7.6225000000000005
33	33	34	128	128	4.16	4.255	4.2075
34	26	32	145	145	3.49	3.585	3.5375
34	29	12	56	56	7.615	7.7	7.657500000000001
34	21	29	209	209	7.56	7.67	7.615
34	23	20	230	230	3.655	3.755	3.705
35	34	31	98	98	5.015	5.11	5.0625
35	27	31	13	13	5.14	5.225	5.182499999999999
35	31	31	216	216	7.06	7.145	7.102499999999999
35	31	21	84	84	2.495	2.59	2.5425
36	30	22	51	51	6.195	6.285	6.24
