col	row
0	all
1	all
2	all
12	23
9 	25
17	24
21	15
22	18
10	17
15	16
8 	27
25	20
20	11
21	20
20	14
19	16
19	14
19	11
21	16
20	12
22	20
22	17
23	8
23	12
23	15
25	13
26	9
26	20
26	21
18	13
6 	28
17	22
7 	6
7 	25
8 	23
8 	25
8 	26
9 	9
9 	10
9 	11
10	24
11	15
11	16
11	20
13	9
13	24
14	15
14	16
14	17
14	18
14	20
15	13
28	11
7	9
9	8
11	23
12	14
13	4
18	11
19	5
22	15
23	16
28	8
29	6
34	7
6 	4
7 	4
9 	7
13	19
14	0
17	7
19	8
23	7
24	6
26	14
30	20
34	10
13	13
6 	6 
8 	9 
9 	6 
10	4
12	27
14	20
15	11
15	14
17	16
21	6
25	6
26	6
27	21
